Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AP Gaurantee Plan- 1,Chrome 71.0.3578.98,,2019-02-11 11:01:46,2019-02-11 11:03:48,2m - 1.380s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Login,Chrome 71.0.3578.98,,2019-02-11 11:01:47,2019-02-11 11:02:16,28.936s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,Opening the Browser,2019-02-11 11:01:48,2019-02-11 11:01:55,7.959s,PASSED
"navigateToUrl(""https://lnvo-muat.callidusondemand.com/SalesPortal/#!/"")",Chrome 71.0.3578.98,"Navigating to Specified Url
",2019-02-11 11:01:55,2019-02-11 11:01:59,3.911s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,Maximizing the Browser window,2019-02-11 11:01:59,2019-02-11 11:02:01,1.377s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-02-11 11:02:01,2019-02-11 11:02:06,5.047s,PASSED
"setText(findTestObject(""Dashboard_login/input_username""), ""sapattna"")",Chrome 71.0.3578.98,Providing the Input value in the Username Text Box,2019-02-11 11:02:06,2019-02-11 11:02:06,0.461s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-02-11 11:02:06,2019-02-11 11:02:11,5.008s,PASSED
"setText(findTestObject(""Dashboard_login/input_password""), ""Callidus123"")",Chrome 71.0.3578.98,Providing the Password of the User,2019-02-11 11:02:11,2019-02-11 11:02:12,0.374s,PASSED
"click(findTestObject(""Dashboard_login/button_Login""))",Chrome 71.0.3578.98,Click the login button,2019-02-11 11:02:12,2019-02-11 11:02:12,0.145s,PASSED
"waitForElementVisible(findTestObject(""Dashboard_Plan/a_Dashboards""), 10)",Chrome 71.0.3578.98,,2019-02-11 11:02:12,2019-02-11 11:02:16,3.874s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_1Plans,Chrome 71.0.3578.98,,2019-02-11 11:02:16,2019-02-11 11:02:34,17.893s,PASSED
"waitForElementClickable(findTestObject(""Dashboard_Plan/a_Dashboards""), 5)",Chrome 71.0.3578.98,,2019-02-11 11:02:16,2019-02-11 11:02:16,0.108s,PASSED
"click(findTestObject(""Dashboard_Plan/a_Dashboards""))",Chrome 71.0.3578.98,"Click the Dashbord option on the screen
",2019-02-11 11:02:16,2019-02-11 11:02:16,0.124s,PASSED
"waitForElementPresent(findTestObject(""Dashboard_Plan/add_dashboard""), 5)",Chrome 71.0.3578.98,,2019-02-11 11:02:16,2019-02-11 11:02:19,2.446s,PASSED
"waitForElementPresent(findTestObject(""Dashboard_Plan/Showmore_button""), 5)",Chrome 71.0.3578.98,,2019-02-11 11:02:19,2019-02-11 11:02:19,0.060s,PASSED
"click(findTestObject(""Dashboard_Plan/input_Search_form-control ng-p""))",Chrome 71.0.3578.98,Click on the Text box,2019-02-11 11:02:19,2019-02-11 11:02:19,0.162s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-02-11 11:02:19,2019-02-11 11:02:19,0.115s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-02-11 11:02:19,2019-02-11 11:02:22,3.006s,PASSED
"setText(findTestObject(""Dashboard_Plan/input_Search_form-control ng-p""), Plans)",Chrome 71.0.3578.98,Providing the Plan Name in the Text Box,2019-02-11 11:02:22,2019-02-11 11:02:23,0.552s,PASSED
globalkeywords.record.RecordNotFound(),Chrome 71.0.3578.98,,2019-02-11 11:02:23,2019-02-11 11:02:33,10.688s,PASSED
myobj = new com.kms.katalon.core.testobject.TestObject(Dynamic Boject),Chrome 71.0.3578.98,,2019-02-11 11:02:33,2019-02-11 11:02:33,0.020s,PASSED
plansearch = Plans,Chrome 71.0.3578.98,,2019-02-11 11:02:33,2019-02-11 11:02:33,0.002s,PASSED
"xpath = ""//span[normalize-space(text())="""" + plansearch + """"]""",Chrome 71.0.3578.98,,2019-02-11 11:02:33,2019-02-11 11:02:33,0.002s,PASSED
"myobj.addProperty(""xpath"", EQUALS, xpath)",Chrome 71.0.3578.98,,2019-02-11 11:02:33,2019-02-11 11:02:33,0.013s,PASSED
waitForPageLoad(10),Chrome 71.0.3578.98,,2019-02-11 11:02:33,2019-02-11 11:02:33,0.011s,PASSED
click(myobj),Chrome 71.0.3578.98,Click the Plan,2019-02-11 11:02:33,2019-02-11 11:02:34,0.147s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_PlanActions,Chrome 71.0.3578.98,,2019-02-11 11:02:34,2019-02-11 11:02:41,7.607s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-02-11 11:02:34,2019-02-11 11:02:37,3.006s,PASSED
myobj1 = new com.kms.katalon.core.testobject.TestObject(Dynamic object),Chrome 71.0.3578.98,,2019-02-11 11:02:37,2019-02-11 11:02:37,0.008s,NOT_RUN
plansearch1 = Plans,Chrome 71.0.3578.98,,2019-02-11 11:02:37,2019-02-11 11:02:37,0.007s,NOT_RUN
