Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Gauranteeplan1,Chrome 70.0.3538.102,,2018-11-22 21:48:45,2018-11-22 21:51:11,2m - 26.450s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_login,Chrome 70.0.3538.102,,2018-11-22 21:48:46,2018-11-22 21:49:26,40.292s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-22 21:48:46,2018-11-22 21:48:51,4.937s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-22 21:48:51,2018-11-22 21:49:18,26.544s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-22 21:49:18,2018-11-22 21:49:19,1.167s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 21:49:19,2018-11-22 21:49:22,3.030s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 21:49:22,2018-11-22 21:49:22,0.399s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 21:49:22,2018-11-22 21:49:26,3.005s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 21:49:26,2018-11-22 21:49:26,0.296s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 21:49:26,2018-11-22 21:49:26,0.189s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Plans,Chrome 70.0.3538.102,,2018-11-22 21:49:26,2018-11-22 21:50:05,39.251s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 21:49:26,2018-11-22 21:49:36,9.419s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 21:49:36,2018-11-22 21:49:39,3.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 21:49:39,2018-11-22 21:49:39,0.162s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 21:49:39,2018-11-22 21:49:40,0.655s,PASSED
globalkeywords.record.RecordNotFound,Chrome 70.0.3538.102,,2018-11-22 21:49:40,2018-11-22 21:49:51,11.808s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 21:49:51,2018-11-22 21:49:54,3.002s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 21:49:54,2018-11-22 21:49:55,0.188s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 21:49:55,2018-11-22 21:49:58,3.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 21:49:58,2018-11-22 21:49:58,0.255s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 21:49:58,2018-11-22 21:49:58,0.052s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-22 21:49:58,2018-11-22 21:50:05,7.111s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 21:50:05,2018-11-22 21:50:05,0.158s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_date,Chrome 70.0.3538.102,,2018-11-22 21:50:05,2018-11-22 21:50:51,45.635s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 21:50:06,2018-11-22 21:50:16,10.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 21:50:16,2018-11-22 21:50:16,0.359s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 21:50:16,2018-11-22 21:50:26,10.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 21:50:26,2018-11-22 21:50:26,0.180s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 21:50:26,2018-11-22 21:50:36,10.004s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 21:50:36,2018-11-22 21:50:37,0.385s,PASSED
globalkeywords.record.RecordNotFound,Chrome 70.0.3538.102,,2018-11-22 21:50:37,2018-11-22 21:50:49,12.154s,PASSED
Statement - robot = new java.awt.Robot(),Chrome 70.0.3538.102,,2018-11-22 21:50:49,2018-11-22 21:50:49,0.001s,PASSED
Statement - robot.keyPress(VK_ENTER),Chrome 70.0.3538.102,,2018-11-22 21:50:49,2018-11-22 21:50:49,0.020s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.102,,2018-11-22 21:50:49,2018-11-22 21:50:51,2.027s,PASSED
Statement - robot.keyRelease(VK_ENTER),Chrome 70.0.3538.102,,2018-11-22 21:50:51,2018-11-22 21:50:51,0.001s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 21:50:51,2018-11-22 21:50:51,0.000s,NOT_RUN
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Participant,Chrome 70.0.3538.102,,2018-11-22 21:50:51,2018-11-22 21:51:04,13.067s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 21:50:51,2018-11-22 21:50:52,0.148s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 21:50:52,2018-11-22 21:50:52,0.331s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 21:50:52,2018-11-22 21:51:02,10.003s,PASSED
Statement - robot = new java.awt.Robot(),Chrome 70.0.3538.102,,2018-11-22 21:51:02,2018-11-22 21:51:02,0.000s,PASSED
Statement - robot.keyPress(VK_ENTER),Chrome 70.0.3538.102,,2018-11-22 21:51:02,2018-11-22 21:51:02,0.000s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.102,,2018-11-22 21:51:02,2018-11-22 21:51:04,2.003s,PASSED
Statement - robot.keyRelease(VK_ENTER),Chrome 70.0.3538.102,,2018-11-22 21:51:04,2018-11-22 21:51:04,0.004s,PASSED
Statement - part = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-22 21:51:04,2018-11-22 21:51:04,0.003s,PASSED
Statement - Try,Chrome 70.0.3538.102,,2018-11-22 21:51:04,2018-11-22 21:51:04,0.085s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Dashboard_QTD_CPS_Attainment,Chrome 70.0.3538.102,,2018-11-22 21:51:04,2018-11-22 21:51:05,1.454s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-22 21:51:04,2018-11-22 21:51:05,0.757s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-22 21:51:05,2018-11-22 21:51:05,0.113s,PASSED
verifyEqual,Chrome 70.0.3538.102,,2018-11-22 21:51:05,2018-11-22 21:51:05,0.154s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Dashboard_Myprofile,Chrome 70.0.3538.102,,2018-11-22 21:51:05,2018-11-22 21:51:07,1.501s,FAILED
mouseOver,Chrome 70.0.3538.102,,2018-11-22 21:51:06,2018-11-22 21:51:06,0.090s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-22 21:51:06,2018-11-22 21:51:07,0.892s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Dashboard_Percent_of_TI,Chrome 70.0.3538.102,,2018-11-22 21:51:07,2018-11-22 21:51:08,1.223s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-22 21:51:08,2018-11-22 21:51:08,0.128s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-22 21:51:08,2018-11-22 21:51:08,0.071s,PASSED
verifyEqual,Chrome 70.0.3538.102,,2018-11-22 21:51:08,2018-11-22 21:51:08,0.119s,PASSED
verifyEqual,Chrome 70.0.3538.102,,2018-11-22 21:51:08,2018-11-22 21:51:08,0.124s,PASSED
verifyEqual,Chrome 70.0.3538.102,,2018-11-22 21:51:08,2018-11-22 21:51:08,0.109s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Dashboard_Element_1_Attainment,Chrome 70.0.3538.102,,2018-11-22 21:51:08,2018-11-22 21:51:09,1.281s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-22 21:51:09,2018-11-22 21:51:09,0.362s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-22 21:51:09,2018-11-22 21:51:09,0.130s,PASSED
verifyEqual,Chrome 70.0.3538.102,,2018-11-22 21:51:09,2018-11-22 21:51:09,0.101s,PASSED
verifyEqual,Chrome 70.0.3538.102,,2018-11-22 21:51:09,2018-11-22 21:51:09,0.106s,PASSED
verifyEqual,Chrome 70.0.3538.102,,2018-11-22 21:51:09,2018-11-22 21:51:09,0.109s,PASSED
,,,,,,
