Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LeveragePlan1,Chrome 70.0.3538.110,,2018-12-03 17:20:10,2018-12-03 17:22:56,2m - 46.613s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_login,Chrome 70.0.3538.110,,2018-12-03 17:20:11,2018-12-03 17:20:30,19.847s,PASSED
openBrowser,Chrome 70.0.3538.110,Opening the Browser,2018-12-03 17:20:11,2018-12-03 17:20:16,5.045s,PASSED
navigateToUrl,Chrome 70.0.3538.110,"Navigating to Specified Url
",2018-12-03 17:20:16,2018-12-03 17:20:22,5.683s,PASSED
maximizeWindow,Chrome 70.0.3538.110,Maximizing the Browser window,2018-12-03 17:20:22,2018-12-03 17:20:23,1.176s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 17:20:23,2018-12-03 17:20:26,3.047s,PASSED
setText,Chrome 70.0.3538.110,Providing the Input value in the Username Text Box,2018-12-03 17:20:26,2018-12-03 17:20:27,0.419s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 17:20:27,2018-12-03 17:20:30,3.004s,PASSED
setText,Chrome 70.0.3538.110,Providing the Password of the User,2018-12-03 17:20:30,2018-12-03 17:20:30,0.533s,PASSED
click,Chrome 70.0.3538.110,Click the login button,2018-12-03 17:20:30,2018-12-03 17:20:30,0.216s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_Plans,Chrome 70.0.3538.110,,2018-12-03 17:20:30,2018-12-03 17:20:52,21.749s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 70.0.3538.110,,2018-12-03 17:20:31,2018-12-03 17:20:34,3.009s,PASSED
click,Chrome 70.0.3538.110,"Click the Dashbord option on the screen
",2018-12-03 17:20:34,2018-12-03 17:20:35,0.974s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 17:20:35,2018-12-03 17:20:36,1.004s,PASSED
click,Chrome 70.0.3538.110,Click on the Text box,2018-12-03 17:20:36,2018-12-03 17:20:36,0.358s,PASSED
setText,Chrome 70.0.3538.110,Providing the Plan Name in the Text Box,2018-12-03 17:20:36,2018-12-03 17:20:37,0.642s,PASSED
globalkeywords.record.RecordNotFound,Chrome 70.0.3538.110,"Record not found Global Keyword
 ",2018-12-03 17:20:37,2018-12-03 17:20:50,13.222s,PASSED
Statement - myobj = new com.kms.katalon.core.testobject.TestObject(Dynamic Boject),Chrome 70.0.3538.110,Creating new object ,2018-12-03 17:20:50,2018-12-03 17:20:50,0.009s,PASSED
Statement - plansearch = Plans,Chrome 70.0.3538.110,"Providing the value for Plansearch
",2018-12-03 17:20:50,2018-12-03 17:20:50,0.001s,PASSED
"Statement - xpath = ""//span[normalize-space(text())="""" + plansearch + """"]""",Chrome 70.0.3538.110,"Specifing the Xpath
",2018-12-03 17:20:50,2018-12-03 17:20:50,0.002s,PASSED
"Statement - myobj.addProperty(""xpath"", EQUALS, xpath)",Chrome 70.0.3538.110,Calling the object of myobj,2018-12-03 17:20:50,2018-12-03 17:20:50,0.008s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.110,,2018-12-03 17:20:50,2018-12-03 17:20:52,2.001s,PASSED
click,Chrome 70.0.3538.110,Click the Plan,2018-12-03 17:20:52,2018-12-03 17:20:52,0.137s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_PlanActions,Chrome 70.0.3538.110,,2018-12-03 17:20:52,2018-12-03 17:21:04,11.387s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 17:20:52,2018-12-03 17:20:55,3.006s,PASSED
