Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Leverageplan-3,Chrome 71.0.3578.98,,2019-02-08 10:51:27,2019-02-08 10:53:33,2m - 5.819s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Login,Chrome 71.0.3578.98,,2019-02-08 10:51:27,2019-02-08 10:52:01,33.737s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,Opening the Browser,2019-02-08 10:51:28,2019-02-08 10:51:35,6.428s,PASSED
"navigateToUrl(""https://lnvo-muat.callidusondemand.com/SalesPortal/#!/"")",Chrome 71.0.3578.98,"Navigating to Specified Url
",2019-02-08 10:51:35,2019-02-08 10:51:45,9.990s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,Maximizing the Browser window,2019-02-08 10:51:45,2019-02-08 10:51:46,1.325s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-02-08 10:51:46,2019-02-08 10:51:51,5.058s,PASSED
"setText(findTestObject(""Dashboard_login/input_username""), ""sapattna"")",Chrome 71.0.3578.98,Providing the Input value in the Username Text Box,2019-02-08 10:51:51,2019-02-08 10:51:51,0.332s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-02-08 10:51:51,2019-02-08 10:51:56,5.008s,PASSED
"setText(findTestObject(""Dashboard_login/input_password""), ""Callidus123"")",Chrome 71.0.3578.98,Providing the Password of the User,2019-02-08 10:51:56,2019-02-08 10:51:57,0.312s,PASSED
"click(findTestObject(""Dashboard_login/button_Login""))",Chrome 71.0.3578.98,Click the login button,2019-02-08 10:51:57,2019-02-08 10:51:57,0.157s,PASSED
"waitForElementVisible(findTestObject(""Dashboard_Plan/a_Dashboards""), 10)",Chrome 71.0.3578.98,,2019-02-08 10:51:57,2019-02-08 10:52:01,4.352s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_1Plans,Chrome 71.0.3578.98,,2019-02-08 10:52:01,2019-02-08 10:52:20,18.687s,PASSED
"waitForElementClickable(findTestObject(""Dashboard_Plan/a_Dashboards""), 5)",Chrome 71.0.3578.98,,2019-02-08 10:52:02,2019-02-08 10:52:02,0.128s,PASSED
"click(findTestObject(""Dashboard_Plan/a_Dashboards""))",Chrome 71.0.3578.98,"Click the Dashbord option on the screen
",2019-02-08 10:52:02,2019-02-08 10:52:02,0.130s,PASSED
"waitForElementPresent(findTestObject(""Dashboard_Plan/add_dashboard""), 5)",Chrome 71.0.3578.98,,2019-02-08 10:52:02,2019-02-08 10:52:05,2.860s,PASSED
"waitForElementPresent(findTestObject(""Dashboard_Plan/Showmore_button""), 5)",Chrome 71.0.3578.98,,2019-02-08 10:52:05,2019-02-08 10:52:05,0.068s,PASSED
"click(findTestObject(""Dashboard_Plan/input_Search_form-control ng-p""))",Chrome 71.0.3578.98,Click on the Text box,2019-02-08 10:52:05,2019-02-08 10:52:05,0.186s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-02-08 10:52:05,2019-02-08 10:52:05,0.141s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-02-08 10:52:05,2019-02-08 10:52:08,3.005s,PASSED
"setText(findTestObject(""Dashboard_Plan/input_Search_form-control ng-p""), Plans)",Chrome 71.0.3578.98,Providing the Plan Name in the Text Box,2019-02-08 10:52:08,2019-02-08 10:52:09,0.828s,PASSED
globalkeywords.record.RecordNotFound(),Chrome 71.0.3578.98,,2019-02-08 10:52:09,2019-02-08 10:52:20,10.609s,PASSED
myobj = new com.kms.katalon.core.testobject.TestObject(Dynamic Boject),Chrome 71.0.3578.98,,2019-02-08 10:52:20,2019-02-08 10:52:20,0.016s,PASSED
plansearch = Plans,Chrome 71.0.3578.98,,2019-02-08 10:52:20,2019-02-08 10:52:20,0.004s,PASSED
"xpath = ""//span[normalize-space(text())="""" + plansearch + """"]""",Chrome 71.0.3578.98,,2019-02-08 10:52:20,2019-02-08 10:52:20,0.000s,PASSED
"myobj.addProperty(""xpath"", EQUALS, xpath)",Chrome 71.0.3578.98,,2019-02-08 10:52:20,2019-02-08 10:52:20,0.012s,PASSED
waitForPageLoad(10),Chrome 71.0.3578.98,,2019-02-08 10:52:20,2019-02-08 10:52:20,0.010s,PASSED
click(myobj),Chrome 71.0.3578.98,Click the Plan,2019-02-08 10:52:20,2019-02-08 10:52:20,0.139s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_PlanActions,Chrome 71.0.3578.98,,2019-02-08 10:52:20,2019-02-08 10:52:28,8.231s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-02-08 10:52:20,2019-02-08 10:52:23,3.009s,PASSED
myobj1 = new com.kms.katalon.core.testobject.TestObject(Dynamic object),Chrome 71.0.3578.98,,2019-02-08 10:52:23,2019-02-08 10:52:23,0.002s,NOT_RUN
plansearch1 = Plans,Chrome 71.0.3578.98,,2019-02-08 10:52:23,2019-02-08 10:52:23,0.000s,NOT_RUN
"xpath = ""(//a[@target=""_blank""]/i[@class=padding-left icon-play4])[1])""",Chrome 71.0.3578.98,,2019-02-08 10:52:23,2019-02-08 10:52:23,0.004s,NOT_RUN
"myobj1.addProperty(""xpath"", EQUALS, xpath)",Chrome 71.0.3578.98,,2019-02-08 10:52:23,2019-02-08 10:52:23,0.000s,NOT_RUN
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-08 10:52:23,2019-02-08 10:52:23,0.004s,NOT_RUN
click(myobj1),Chrome 71.0.3578.98,Click the Plan Rep,2019-02-08 10:52:23,2019-02-08 10:52:23,0.000s,NOT_RUN
"click(findTestObject(""Dashboard_Plan/i_plansPreviewbutton""))",Chrome 71.0.3578.98,,2019-02-08 10:52:23,2019-02-08 10:52:24,0.398s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,Switch to other window index,2019-02-08 10:52:24,2019-02-08 10:52:24,0.053s,PASSED
"waitForElementVisible(findTestObject(""Dashboard_Date/span_Please enter at least 3 c""), 10)",Chrome 71.0.3578.98,Waiting for the object to visible,2019-02-08 10:52:24,2019-02-08 10:52:28,4.037s,PASSED
"click(findTestObject(""Dashboard_Date/span_Please enter at least 3 c""))",Chrome 71.0.3578.98,Click on the text box,2019-02-08 10:52:28,2019-02-08 10:52:28,0.127s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_date,Chrome 71.0.3578.98,,2019-02-08 10:52:28,2019-02-08 10:52:45,17.009s,PASSED
"waitForElementVisible(findTestObject(""Dashboard_Date/span_Select period""), 5)",Chrome 71.0.3578.98,,2019-02-08 10:52:28,2019-02-08 10:52:29,0.613s,PASSED
"click(findTestObject(""Dashboard_Date/span_Select period""))",Chrome 71.0.3578.98,"Click on the Date Option
",2019-02-08 10:52:29,2019-02-08 10:52:29,0.297s,PASSED
"waitForElementClickable(findTestObject(""Dashboard_Date/Input_of_date""), 5)",Chrome 71.0.3578.98,,2019-02-08 10:52:29,2019-02-08 10:52:30,0.203s,PASSED
"click(findTestObject(""Dashboard_Date/Input_of_date""))",Chrome 71.0.3578.98,Click on Date Text box,2019-02-08 10:52:30,2019-02-08 10:52:30,0.193s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-08 10:52:30,2019-02-08 10:52:32,2.002s,PASSED
"setText(findTestObject(""Dashboard_Date/Input_of_date""), parDate)",Chrome 71.0.3578.98,"Provide the Date in the Text Box
",2019-02-08 10:52:32,2019-02-08 10:52:32,0.478s,PASSED
globalkeywords.record.RecordNotFound(),Chrome 71.0.3578.98,,2019-02-08 10:52:32,2019-02-08 10:52:43,10.758s,PASSED
robot = new java.awt.Robot(),Chrome 71.0.3578.98,,2019-02-08 10:52:43,2019-02-08 10:52:43,0.012s,PASSED
robot.keyPress(VK_ENTER),Chrome 71.0.3578.98,Select and click date,2019-02-08 10:52:43,2019-02-08 10:52:43,0.044s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-08 10:52:43,2019-02-08 10:52:45,2.026s,PASSED
robot.keyRelease(VK_ENTER),Chrome 71.0.3578.98,Select and click date,2019-02-08 10:52:45,2019-02-08 10:52:45,0.002s,PASSED
"click(findTestObject(""demo/a_June 2018""))",Chrome 71.0.3578.98,,2019-02-08 10:52:45,2019-02-08 10:52:45,0.000s,NOT_RUN
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Participant,Chrome 71.0.3578.98,,2019-02-08 10:52:45,2019-02-08 10:53:04,18.597s,PASSED
"waitForElementNotClickable(findTestObject(""Dashboard_Date/span_Please enter at least 3 c""), 10)",Chrome 71.0.3578.98,,2019-02-08 10:52:46,2019-02-08 10:52:56,10.574s,PASSED
"click(findTestObject(""Dashboard_Date/span_Please enter at least 3 c""))",Chrome 71.0.3578.98,Click on the Text box,2019-02-08 10:52:56,2019-02-08 10:52:56,0.131s,PASSED
"setText(findTestObject(""Dashboard_Date/input_Please enter at least 3""), ParticipantName)",Chrome 71.0.3578.98,Providing participant name,2019-02-08 10:52:56,2019-02-08 10:52:57,0.266s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-02-08 10:52:57,2019-02-08 10:53:02,5.001s,PASSED
