Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Leverageplandata,Chrome 70.0.3538.102,,2018-11-22 18:17:43,2018-11-22 18:21:02,3m - 19.233s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_login,Chrome 70.0.3538.102,,2018-11-22 18:17:43,2018-11-22 18:18:02,18.785s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-22 18:17:44,2018-11-22 18:17:49,4.808s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-22 18:17:49,2018-11-22 18:17:54,5.330s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-22 18:17:54,2018-11-22 18:17:55,1.146s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 18:17:55,2018-11-22 18:17:58,3.048s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 18:17:58,2018-11-22 18:17:59,0.354s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 18:17:59,2018-11-22 18:18:02,3.002s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 18:18:02,2018-11-22 18:18:02,0.278s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 18:18:02,2018-11-22 18:18:02,0.184s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Plans,Chrome 70.0.3538.102,,2018-11-22 18:18:02,2018-11-22 18:18:34,32.172s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 18:18:03,2018-11-22 18:18:06,3.663s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 18:18:06,2018-11-22 18:18:09,3.005s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 18:18:09,2018-11-22 18:18:10,0.211s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 18:18:10,2018-11-22 18:18:10,0.742s,PASSED
globalkeywords.record.RecordNotFound,Chrome 70.0.3538.102,,2018-11-22 18:18:10,2018-11-22 18:18:22,11.847s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 18:18:22,2018-11-22 18:18:25,3.006s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 18:18:25,2018-11-22 18:18:25,0.159s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 18:18:25,2018-11-22 18:18:28,3.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 18:18:28,2018-11-22 18:18:29,0.245s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 18:18:29,2018-11-22 18:18:29,0.052s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-22 18:18:29,2018-11-22 18:18:34,5.519s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 18:18:34,2018-11-22 18:18:34,0.133s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_date,Chrome 70.0.3538.102,,2018-11-22 18:18:34,2018-11-22 18:19:20,45.471s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 18:18:35,2018-11-22 18:18:45,10.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 18:18:45,2018-11-22 18:18:45,0.354s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 18:18:45,2018-11-22 18:18:55,10.005s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 18:18:55,2018-11-22 18:18:55,0.157s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 18:18:55,2018-11-22 18:19:05,10.002s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 18:19:05,2018-11-22 18:19:05,0.343s,PASSED
globalkeywords.record.RecordNotFound,Chrome 70.0.3538.102,,2018-11-22 18:19:05,2018-11-22 18:19:18,12.217s,PASSED
Statement - robot = new java.awt.Robot(),Chrome 70.0.3538.102,,2018-11-22 18:19:18,2018-11-22 18:19:18,0.004s,PASSED
Statement - robot.keyPress(VK_ENTER),Chrome 70.0.3538.102,,2018-11-22 18:19:18,2018-11-22 18:19:18,0.025s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.102,,2018-11-22 18:19:18,2018-11-22 18:19:20,2.012s,PASSED
Statement - robot.keyRelease(VK_ENTER),Chrome 70.0.3538.102,,2018-11-22 18:19:20,2018-11-22 18:19:20,0.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 18:19:20,2018-11-22 18:19:20,0.004s,NOT_RUN
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Participant,Chrome 70.0.3538.102,,2018-11-22 18:19:20,2018-11-22 18:19:52,31.941s,FAILED
click,Chrome 70.0.3538.102,,2018-11-22 18:19:20,2018-11-22 18:19:20,0.117s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 18:19:20,2018-11-22 18:19:21,0.239s,PASSED
globalkeywords.record.RecordNotFound,Chrome 70.0.3538.102,,2018-11-22 18:19:21,2018-11-22 18:19:32,11.959s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 18:19:32,2018-11-22 18:19:42,10.002s,PASSED
Statement - robot = new java.awt.Robot(),Chrome 70.0.3538.102,,2018-11-22 18:19:42,2018-11-22 18:19:42,0.001s,PASSED
Statement - robot.keyPress(VK_ENTER),Chrome 70.0.3538.102,,2018-11-22 18:19:42,2018-11-22 18:19:42,0.003s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.102,,2018-11-22 18:19:42,2018-11-22 18:19:45,2.002s,PASSED
Statement - robot.keyRelease(VK_ENTER),Chrome 70.0.3538.102,,2018-11-22 18:19:45,2018-11-22 18:19:45,0.002s,PASSED
Statement - part = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-22 18:19:45,2018-11-22 18:19:45,0.002s,PASSED
Statement - Try,Chrome 70.0.3538.102,,2018-11-22 18:19:45,2018-11-22 18:19:52,7.205s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Dashboard_QTD_CPS_Attainment,Chrome 70.0.3538.102,,2018-11-22 18:19:52,2018-11-22 18:20:26,34.257s,FAILED
mouseOver,Chrome 70.0.3538.102,,2018-11-22 18:19:52,2018-11-22 18:20:26,33.965s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Dashboard_Myprofile,Chrome 70.0.3538.102,,2018-11-22 18:20:26,2018-11-22 18:21:01,34.956s,FAILED
mouseOver,Chrome 70.0.3538.102,,2018-11-22 18:20:26,2018-11-22 18:21:01,34.568s,FAILED
