Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mutliple_PlansExecution,Chrome 70.0.3538.110,,2018-12-03 18:05:14,2018-12-03 18:06:34,1m - 20.555s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_login,Chrome 70.0.3538.110,,2018-12-03 18:05:14,2018-12-03 18:05:34,19.160s,PASSED
openBrowser,Chrome 70.0.3538.110,Opening the Browser,2018-12-03 18:05:15,2018-12-03 18:05:20,5.043s,PASSED
navigateToUrl,Chrome 70.0.3538.110,"Navigating to Specified Url
",2018-12-03 18:05:20,2018-12-03 18:05:25,5.344s,PASSED
maximizeWindow,Chrome 70.0.3538.110,Maximizing the Browser window,2018-12-03 18:05:25,2018-12-03 18:05:27,1.146s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 18:05:27,2018-12-03 18:05:30,3.067s,PASSED
setText,Chrome 70.0.3538.110,Providing the Input value in the Username Text Box,2018-12-03 18:05:30,2018-12-03 18:05:30,0.355s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 18:05:30,2018-12-03 18:05:33,3.004s,PASSED
setText,Chrome 70.0.3538.110,Providing the Password of the User,2018-12-03 18:05:33,2018-12-03 18:05:33,0.281s,PASSED
click,Chrome 70.0.3538.110,Click the login button,2018-12-03 18:05:33,2018-12-03 18:05:34,0.287s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_Plans,Chrome 70.0.3538.110,,2018-12-03 18:05:34,2018-12-03 18:05:54,20.167s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 70.0.3538.110,,2018-12-03 18:05:34,2018-12-03 18:05:37,3.008s,PASSED
click,Chrome 70.0.3538.110,"Click the Dashbord option on the screen
",2018-12-03 18:05:37,2018-12-03 18:05:38,0.676s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 18:05:38,2018-12-03 18:05:39,1.003s,PASSED
click,Chrome 70.0.3538.110,Click on the Text box,2018-12-03 18:05:39,2018-12-03 18:05:39,0.370s,PASSED
setText,Chrome 70.0.3538.110,Providing the Plan Name in the Text Box,2018-12-03 18:05:39,2018-12-03 18:05:40,0.566s,PASSED
globalkeywords.record.RecordNotFound,Chrome 70.0.3538.110,"Record not found Global Keyword
 ",2018-12-03 18:05:40,2018-12-03 18:05:51,11.780s,PASSED
Statement - myobj = new com.kms.katalon.core.testobject.TestObject(Dynamic Boject),Chrome 70.0.3538.110,Creating new object ,2018-12-03 18:05:51,2018-12-03 18:05:52,0.008s,PASSED
Statement - plansearch = Plans,Chrome 70.0.3538.110,"Providing the value for Plansearch
",2018-12-03 18:05:52,2018-12-03 18:05:52,0.001s,PASSED
"Statement - xpath = ""//span[normalize-space(text())="""" + plansearch + """"]""",Chrome 70.0.3538.110,"Specifing the Xpath
",2018-12-03 18:05:52,2018-12-03 18:05:52,0.001s,PASSED
"Statement - myobj.addProperty(""xpath"", EQUALS, xpath)",Chrome 70.0.3538.110,Calling the object of myobj,2018-12-03 18:05:52,2018-12-03 18:05:52,0.006s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.110,,2018-12-03 18:05:52,2018-12-03 18:05:54,2.001s,PASSED
click,Chrome 70.0.3538.110,Click the Plan,2018-12-03 18:05:54,2018-12-03 18:05:54,0.170s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_Plans,Chrome 70.0.3538.110,,2018-12-03 18:05:54,2018-12-03 18:06:14,20.206s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 70.0.3538.110,,2018-12-03 18:05:54,2018-12-03 18:05:57,3.001s,PASSED
click,Chrome 70.0.3538.110,"Click the Dashbord option on the screen
",2018-12-03 18:05:57,2018-12-03 18:05:57,0.145s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 18:05:57,2018-12-03 18:05:58,1.004s,PASSED
click,Chrome 70.0.3538.110,Click on the Text box,2018-12-03 18:05:58,2018-12-03 18:05:58,0.131s,PASSED
setText,Chrome 70.0.3538.110,Providing the Plan Name in the Text Box,2018-12-03 18:05:58,2018-12-03 18:05:58,0.480s,PASSED
globalkeywords.record.RecordNotFound,Chrome 70.0.3538.110,"Record not found Global Keyword
 ",2018-12-03 18:05:58,2018-12-03 18:06:12,13.238s,PASSED
Statement - myobj = new com.kms.katalon.core.testobject.TestObject(Dynamic Boject),Chrome 70.0.3538.110,Creating new object ,2018-12-03 18:06:12,2018-12-03 18:06:12,0.001s,PASSED
Statement - plansearch = Plans,Chrome 70.0.3538.110,"Providing the value for Plansearch
",2018-12-03 18:06:12,2018-12-03 18:06:12,0.001s,PASSED
