Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Quarterly EMEA leverage plan-2,Chrome 71.0.3578.98,,2019-02-11 10:30:59,2019-02-11 10:36:31,5m - 32.220s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Login,Chrome 71.0.3578.98,,2019-02-11 10:30:59,2019-02-11 10:31:34,34.972s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,Opening the Browser,2019-02-11 10:31:00,2019-02-11 10:31:09,8.921s,PASSED
"navigateToUrl(""https://lnvo-muat.callidusondemand.com/SalesPortal/#!/"")",Chrome 71.0.3578.98,"Navigating to Specified Url
",2019-02-11 10:31:09,2019-02-11 10:31:14,4.466s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,Maximizing the Browser window,2019-02-11 10:31:14,2019-02-11 10:31:15,1.623s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-02-11 10:31:15,2019-02-11 10:31:20,5.094s,PASSED
"setText(findTestObject(""Dashboard_login/input_username""), ""sapattna"")",Chrome 71.0.3578.98,Providing the Input value in the Username Text Box,2019-02-11 10:31:20,2019-02-11 10:31:21,0.491s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-02-11 10:31:21,2019-02-11 10:31:26,5.003s,PASSED
"setText(findTestObject(""Dashboard_login/input_password""), ""Callidus123"")",Chrome 71.0.3578.98,Providing the Password of the User,2019-02-11 10:31:26,2019-02-11 10:31:27,0.517s,PASSED
"click(findTestObject(""Dashboard_login/button_Login""))",Chrome 71.0.3578.98,Click the login button,2019-02-11 10:31:27,2019-02-11 10:31:27,0.331s,PASSED
"waitForElementVisible(findTestObject(""Dashboard_Plan/a_Dashboards""), 10)",Chrome 71.0.3578.98,,2019-02-11 10:31:27,2019-02-11 10:31:34,7.564s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_1Plans,Chrome 71.0.3578.98,,2019-02-11 10:31:34,2019-02-11 10:31:58,23.429s,PASSED
"waitForElementClickable(findTestObject(""Dashboard_Plan/a_Dashboards""), 5)",Chrome 71.0.3578.98,,2019-02-11 10:31:35,2019-02-11 10:31:35,0.117s,PASSED
"click(findTestObject(""Dashboard_Plan/a_Dashboards""))",Chrome 71.0.3578.98,"Click the Dashbord option on the screen
",2019-02-11 10:31:35,2019-02-11 10:31:35,0.283s,PASSED
"waitForElementPresent(findTestObject(""Dashboard_Plan/add_dashboard""), 5)",Chrome 71.0.3578.98,,2019-02-11 10:31:35,2019-02-11 10:31:39,3.644s,PASSED
"waitForElementPresent(findTestObject(""Dashboard_Plan/Showmore_button""), 5)",Chrome 71.0.3578.98,,2019-02-11 10:31:39,2019-02-11 10:31:39,0.150s,PASSED
"click(findTestObject(""Dashboard_Plan/input_Search_form-control ng-p""))",Chrome 71.0.3578.98,Click on the Text box,2019-02-11 10:31:39,2019-02-11 10:31:40,0.336s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-02-11 10:31:40,2019-02-11 10:31:40,0.164s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-02-11 10:31:40,2019-02-11 10:31:43,3.003s,PASSED
"setText(findTestObject(""Dashboard_Plan/input_Search_form-control ng-p""), Plans)",Chrome 71.0.3578.98,Providing the Plan Name in the Text Box,2019-02-11 10:31:43,2019-02-11 10:31:46,3.493s,PASSED
globalkeywords.record.RecordNotFound(),Chrome 71.0.3578.98,,2019-02-11 10:31:46,2019-02-11 10:31:58,11.240s,PASSED
myobj = new com.kms.katalon.core.testobject.TestObject(Dynamic Boject),Chrome 71.0.3578.98,,2019-02-11 10:31:58,2019-02-11 10:31:58,0.009s,PASSED
plansearch = Plans,Chrome 71.0.3578.98,,2019-02-11 10:31:58,2019-02-11 10:31:58,0.001s,PASSED
"xpath = ""//span[normalize-space(text())="""" + plansearch + """"]""",Chrome 71.0.3578.98,,2019-02-11 10:31:58,2019-02-11 10:31:58,0.001s,PASSED
"myobj.addProperty(""xpath"", EQUALS, xpath)",Chrome 71.0.3578.98,,2019-02-11 10:31:58,2019-02-11 10:31:58,0.009s,PASSED
waitForPageLoad(10),Chrome 71.0.3578.98,,2019-02-11 10:31:58,2019-02-11 10:31:58,0.047s,PASSED
click(myobj),Chrome 71.0.3578.98,Click the Plan,2019-02-11 10:31:58,2019-02-11 10:31:58,0.254s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_PlanActions,Chrome 71.0.3578.98,,2019-02-11 10:31:58,2019-02-11 10:32:07,8.798s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-02-11 10:31:59,2019-02-11 10:32:02,3.004s,PASSED
myobj1 = new com.kms.katalon.core.testobject.TestObject(Dynamic object),Chrome 71.0.3578.98,,2019-02-11 10:32:02,2019-02-11 10:32:02,0.005s,NOT_RUN
plansearch1 = Plans,Chrome 71.0.3578.98,,2019-02-11 10:32:02,2019-02-11 10:32:02,0.004s,NOT_RUN
"xpath = ""(//a[@target=""_blank""]/i[@class=padding-left icon-play4])[1])""",Chrome 71.0.3578.98,,2019-02-11 10:32:02,2019-02-11 10:32:02,0.003s,NOT_RUN
"myobj1.addProperty(""xpath"", EQUALS, xpath)",Chrome 71.0.3578.98,,2019-02-11 10:32:02,2019-02-11 10:32:02,0.002s,NOT_RUN
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-11 10:32:02,2019-02-11 10:32:02,0.002s,NOT_RUN
click(myobj1),Chrome 71.0.3578.98,Click the Plan Rep,2019-02-11 10:32:02,2019-02-11 10:32:02,0.002s,NOT_RUN
"click(findTestObject(""Dashboard_Plan/i_plansPreviewbutton""))",Chrome 71.0.3578.98,,2019-02-11 10:32:02,2019-02-11 10:32:02,0.401s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,Switch to other window index,2019-02-11 10:32:02,2019-02-11 10:32:02,0.052s,PASSED
"waitForElementVisible(findTestObject(""Dashboard_Date/span_Please enter at least 3 c""), 10)",Chrome 71.0.3578.98,Waiting for the object to visible,2019-02-11 10:32:02,2019-02-11 10:32:06,4.318s,PASSED
"click(findTestObject(""Dashboard_Date/span_Please enter at least 3 c""))",Chrome 71.0.3578.98,Click on the text box,2019-02-11 10:32:06,2019-02-11 10:32:07,0.278s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_date,Chrome 71.0.3578.98,,2019-02-11 10:32:07,2019-02-11 10:32:24,17.190s,PASSED
"waitForElementVisible(findTestObject(""Dashboard_Date/span_Select period""), 5)",Chrome 71.0.3578.98,,2019-02-11 10:32:07,2019-02-11 10:32:07,0.113s,PASSED
"click(findTestObject(""Dashboard_Date/span_Select period""))",Chrome 71.0.3578.98,"Click on the Date Option
",2019-02-11 10:32:07,2019-02-11 10:32:08,0.571s,PASSED
"waitForElementClickable(findTestObject(""Dashboard_Date/Input_of_date""), 5)",Chrome 71.0.3578.98,,2019-02-11 10:32:08,2019-02-11 10:32:08,0.268s,PASSED
"click(findTestObject(""Dashboard_Date/Input_of_date""))",Chrome 71.0.3578.98,Click on Date Text box,2019-02-11 10:32:08,2019-02-11 10:32:09,0.334s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-11 10:32:09,2019-02-11 10:32:11,2.002s,PASSED
"setText(findTestObject(""Dashboard_Date/Input_of_date""), parDate)",Chrome 71.0.3578.98,"Provide the Date in the Text Box
",2019-02-11 10:32:11,2019-02-11 10:32:11,0.498s,PASSED
globalkeywords.record.RecordNotFound(),Chrome 71.0.3578.98,,2019-02-11 10:32:11,2019-02-11 10:32:22,10.656s,PASSED
robot = new java.awt.Robot(),Chrome 71.0.3578.98,,2019-02-11 10:32:22,2019-02-11 10:32:22,0.007s,PASSED
robot.keyPress(VK_ENTER),Chrome 71.0.3578.98,Select and click date,2019-02-11 10:32:22,2019-02-11 10:32:22,0.037s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-11 10:32:22,2019-02-11 10:32:24,2.086s,PASSED
robot.keyRelease(VK_ENTER),Chrome 71.0.3578.98,Select and click date,2019-02-11 10:32:24,2019-02-11 10:32:24,0.003s,PASSED
"click(findTestObject(""demo/a_June 2018""))",Chrome 71.0.3578.98,,2019-02-11 10:32:24,2019-02-11 10:32:24,0.002s,NOT_RUN
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Participant,Chrome 71.0.3578.98,,2019-02-11 10:32:24,2019-02-11 10:32:42,18.623s,PASSED
"waitForElementNotClickable(findTestObject(""Dashboard_Date/span_Please enter at least 3 c""), 10)",Chrome 71.0.3578.98,,2019-02-11 10:32:25,2019-02-11 10:32:35,10.144s,PASSED
"click(findTestObject(""Dashboard_Date/span_Please enter at least 3 c""))",Chrome 71.0.3578.98,Click on the Text box,2019-02-11 10:32:35,2019-02-11 10:32:35,0.249s,PASSED
"setText(findTestObject(""Dashboard_Date/input_Please enter at least 3""), ParticipantName)",Chrome 71.0.3578.98,Providing participant name,2019-02-11 10:32:35,2019-02-11 10:32:35,0.506s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-02-11 10:32:35,2019-02-11 10:32:40,5.002s,PASSED
robot = new java.awt.Robot(),Chrome 71.0.3578.98,,2019-02-11 10:32:40,2019-02-11 10:32:40,0.002s,PASSED
robot.keyPress(VK_ENTER),Chrome 71.0.3578.98,Select and click date,2019-02-11 10:32:40,2019-02-11 10:32:40,0.002s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-11 10:32:40,2019-02-11 10:32:42,2.001s,PASSED
robot.keyRelease(VK_ENTER),Chrome 71.0.3578.98,Select and click date,2019-02-11 10:32:42,2019-02-11 10:32:42,0.002s,PASSED
ParticipantName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 71.0.3578.98,,2019-02-11 10:32:42,2019-02-11 10:32:42,0.001s,PASSED
try,Chrome 71.0.3578.98,,2019-02-11 10:32:42,2019-02-11 10:32:42,0.057s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Widget1_QTD_CPS_Attainment,Chrome 71.0.3578.98,,2019-02-11 10:32:42,2019-02-11 10:32:44,1.672s,FAILED
"mouseOver(findTestObject(""Dashboard_Widgets/Dashboard_QTD_CPS_Attainment/span_QTD CPS Attainment""))",Chrome 71.0.3578.98,Mouseover on to QTD CPS,2019-02-11 10:32:43,2019-02-11 10:32:43,0.178s,PASSED
"verifyElementText(findTestObject(""Dashboard_Widgets/Dashboard_QTD_CPS_Attainment/span_QTD CPS Attainment""), Widget1)",Chrome 71.0.3578.98,Verify the Text of QTD CPS,2019-02-11 10:32:43,2019-02-11 10:32:44,0.875s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Widget2_Myprofile,Chrome 71.0.3578.98,,2019-02-11 10:32:44,2019-02-11 10:33:18,33.380s,FAILED
"mouseOver(findTestObject(""Dashboard_Widgets/Dashboard_MyProfile/span_My Profile""))",Chrome 71.0.3578.98,Mouseover to My Profile ,2019-02-11 10:32:45,2019-02-11 10:33:18,32.406s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Widget3_Percent_of_TI,Chrome 71.0.3578.98,,2019-02-11 10:33:18,2019-02-11 10:33:50,32.944s,FAILED
"mouseOver(findTestObject(""Dashboard_Widgets/Dashboard_Percent_of_TI/span_Percent of TI""))",Chrome 71.0.3578.98,Mouseover to Percent of TI,2019-02-11 10:33:18,2019-02-11 10:33:50,32.394s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Widget4_Element_1_Attainment,Chrome 71.0.3578.98,,2019-02-11 10:33:51,2019-02-11 10:34:27,36.157s,FAILED
"mouseOver(findTestObject(""Dashboard_Widgets/Dashboard_Element_1_Attainment/span_Element 1 Attainment""))",Chrome 71.0.3578.98,Mouseover to Element1 Attainment,2019-02-11 10:33:51,2019-02-11 10:34:27,35.463s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Widget5_Element_2_attainment,Chrome 71.0.3578.98,,2019-02-11 10:34:27,2019-02-11 10:35:03,36.743s,FAILED
"mouseOver(findTestObject(""Dashboard_Widgets/Dashboard_Element2_Attainment/span_Element 2 Attainment""))",Chrome 71.0.3578.98,Mouseover Element 2 Attainment,2019-02-11 10:34:28,2019-02-11 10:35:03,35.864s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Widget7_attainment and quota/Widget7_1_QTD_CPSandELEMENT1DATA,Chrome 71.0.3578.98,,2019-02-11 10:35:03,2019-02-11 10:35:37,33.505s,FAILED
"mouseOver(findTestObject(""Dashboard_Widgets/Dashboard_Attainment_and_quota_by _Quarter/Attainment and Quota by Q""))",Chrome 71.0.3578.98,Mouseover to Attainment and quota by quarter,2019-02-11 10:35:04,2019-02-11 10:35:37,32.717s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Widget7_attainment and quota/Widget7_2_Element2val,Chrome 71.0.3578.98,,2019-02-11 10:35:37,2019-02-11 10:36:17,39.822s,FAILED
"verifyEqual(getText(findTestObject(""Dashboard_Widgets/Dashboard_Attainment_and_quota_by _Quarter/td_Element 2 Quota"")), ""Element 2 Quota"")",Chrome 71.0.3578.98,Verify Quota2 Text,2019-02-11 10:35:38,2019-02-11 10:36:17,39.252s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Widget8_currentyearpayments,Chrome 71.0.3578.98,,2019-02-11 10:36:17,2019-02-11 10:36:30,13.120s,FAILED
"mouseOver(findTestObject(""Dashboard_Widgets/Dashbaoard_currentyearpayments/Current_YearPayments""))",Chrome 71.0.3578.98,Mouseover to Current year payments,2019-02-11 10:36:17,2019-02-11 10:36:30,12.746s,FAILED
