Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Quarterly Leverage Plan1 element-CPS,Chrome 71.0.3578.98,,2019-02-11 11:46:11,2019-02-11 11:48:26,2m - 15.317s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Login,Chrome 71.0.3578.98,,2019-02-11 11:46:12,2019-02-11 11:46:47,34.857s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,Opening the Browser,2019-02-11 11:46:13,2019-02-11 11:46:20,6.887s,PASSED
"navigateToUrl(""https://lnvo-muat.callidusondemand.com/SalesPortal/#!/"")",Chrome 71.0.3578.98,"Navigating to Specified Url
",2019-02-11 11:46:20,2019-02-11 11:46:23,3.580s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,Maximizing the Browser window,2019-02-11 11:46:23,2019-02-11 11:46:25,1.707s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-02-11 11:46:25,2019-02-11 11:46:30,5.037s,PASSED
"setText(findTestObject(""Dashboard_login/input_username""), ""sapattna"")",Chrome 71.0.3578.98,Providing the Input value in the Username Text Box,2019-02-11 11:46:30,2019-02-11 11:46:30,0.347s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-02-11 11:46:30,2019-02-11 11:46:35,5.005s,PASSED
"setText(findTestObject(""Dashboard_login/input_password""), ""Callidus123"")",Chrome 71.0.3578.98,Providing the Password of the User,2019-02-11 11:46:35,2019-02-11 11:46:36,0.334s,PASSED
"click(findTestObject(""Dashboard_login/button_Login""))",Chrome 71.0.3578.98,Click the login button,2019-02-11 11:46:36,2019-02-11 11:46:36,0.162s,PASSED
"waitForElementVisible(findTestObject(""Dashboard_Plan/a_Dashboards""), 10)",Chrome 71.0.3578.98,,2019-02-11 11:46:36,2019-02-11 11:46:47,10.721s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_1Plans,Chrome 71.0.3578.98,,2019-02-11 11:46:47,2019-02-11 11:47:10,22.978s,PASSED
"waitForElementClickable(findTestObject(""Dashboard_Plan/a_Dashboards""), 5)",Chrome 71.0.3578.98,,2019-02-11 11:46:47,2019-02-11 11:46:47,0.104s,PASSED
"click(findTestObject(""Dashboard_Plan/a_Dashboards""))",Chrome 71.0.3578.98,"Click the Dashbord option on the screen
",2019-02-11 11:46:47,2019-02-11 11:46:48,0.200s,PASSED
"waitForElementPresent(findTestObject(""Dashboard_Plan/add_dashboard""), 5)",Chrome 71.0.3578.98,,2019-02-11 11:46:48,2019-02-11 11:46:53,5.600s,PASSED
"waitForElementPresent(findTestObject(""Dashboard_Plan/Showmore_button""), 5)",Chrome 71.0.3578.98,,2019-02-11 11:46:53,2019-02-11 11:46:54,1.337s,PASSED
"click(findTestObject(""Dashboard_Plan/input_Search_form-control ng-p""))",Chrome 71.0.3578.98,Click on the Text box,2019-02-11 11:46:54,2019-02-11 11:46:55,0.216s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-02-11 11:46:55,2019-02-11 11:46:55,0.092s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-02-11 11:46:55,2019-02-11 11:46:58,3.002s,PASSED
"setText(findTestObject(""Dashboard_Plan/input_Search_form-control ng-p""), Plans)",Chrome 71.0.3578.98,Providing the Plan Name in the Text Box,2019-02-11 11:46:58,2019-02-11 11:46:59,0.844s,PASSED
globalkeywords.record.RecordNotFound(),Chrome 71.0.3578.98,,2019-02-11 11:46:59,2019-02-11 11:47:09,10.614s,PASSED
myobj = new com.kms.katalon.core.testobject.TestObject(Dynamic Boject),Chrome 71.0.3578.98,,2019-02-11 11:47:09,2019-02-11 11:47:09,0.016s,PASSED
plansearch = Plans,Chrome 71.0.3578.98,,2019-02-11 11:47:09,2019-02-11 11:47:09,0.004s,PASSED
"xpath = ""//span[normalize-space(text())="""" + plansearch + """"]""",Chrome 71.0.3578.98,,2019-02-11 11:47:09,2019-02-11 11:47:09,0.000s,PASSED
"myobj.addProperty(""xpath"", EQUALS, xpath)",Chrome 71.0.3578.98,,2019-02-11 11:47:09,2019-02-11 11:47:09,0.016s,PASSED
waitForPageLoad(10),Chrome 71.0.3578.98,,2019-02-11 11:47:09,2019-02-11 11:47:09,0.035s,PASSED
click(myobj),Chrome 71.0.3578.98,Click the Plan,2019-02-11 11:47:09,2019-02-11 11:47:10,0.224s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_PlanActions,Chrome 71.0.3578.98,,2019-02-11 11:47:10,2019-02-11 11:47:20,10.385s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-02-11 11:47:10,2019-02-11 11:47:13,3.002s,PASSED
myobj1 = new com.kms.katalon.core.testobject.TestObject(Dynamic object),Chrome 71.0.3578.98,,2019-02-11 11:47:13,2019-02-11 11:47:13,0.006s,NOT_RUN
plansearch1 = Plans,Chrome 71.0.3578.98,,2019-02-11 11:47:13,2019-02-11 11:47:13,0.004s,NOT_RUN
"xpath = ""(//a[@target=""_blank""]/i[@class=padding-left icon-play4])[1])""",Chrome 71.0.3578.98,,2019-02-11 11:47:13,2019-02-11 11:47:13,0.004s,NOT_RUN
"myobj1.addProperty(""xpath"", EQUALS, xpath)",Chrome 71.0.3578.98,,2019-02-11 11:47:13,2019-02-11 11:47:13,0.004s,NOT_RUN
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-11 11:47:13,2019-02-11 11:47:13,0.004s,NOT_RUN
click(myobj1),Chrome 71.0.3578.98,Click the Plan Rep,2019-02-11 11:47:13,2019-02-11 11:47:13,0.008s,NOT_RUN
"click(findTestObject(""Dashboard_Plan/i_plansPreviewbutton""))",Chrome 71.0.3578.98,,2019-02-11 11:47:13,2019-02-11 11:47:13,0.254s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,Switch to other window index,2019-02-11 11:47:13,2019-02-11 11:47:13,0.040s,PASSED
"waitForElementVisible(findTestObject(""Dashboard_Date/span_Please enter at least 3 c""), 10)",Chrome 71.0.3578.98,Waiting for the object to visible,2019-02-11 11:47:13,2019-02-11 11:47:20,6.584s,PASSED
"click(findTestObject(""Dashboard_Date/span_Please enter at least 3 c""))",Chrome 71.0.3578.98,Click on the text box,2019-02-11 11:47:20,2019-02-11 11:47:20,0.122s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_date,Chrome 71.0.3578.98,,2019-02-11 11:47:20,2019-02-11 11:47:37,16.819s,PASSED
"waitForElementVisible(findTestObject(""Dashboard_Date/span_Select period""), 5)",Chrome 71.0.3578.98,,2019-02-11 11:47:20,2019-02-11 11:47:21,0.594s,PASSED
"click(findTestObject(""Dashboard_Date/span_Select period""))",Chrome 71.0.3578.98,"Click on the Date Option
",2019-02-11 11:47:21,2019-02-11 11:47:21,0.383s,PASSED
"waitForElementClickable(findTestObject(""Dashboard_Date/Input_of_date""), 5)",Chrome 71.0.3578.98,,2019-02-11 11:47:21,2019-02-11 11:47:22,0.221s,PASSED
"click(findTestObject(""Dashboard_Date/Input_of_date""))",Chrome 71.0.3578.98,Click on Date Text box,2019-02-11 11:47:22,2019-02-11 11:47:22,0.143s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-11 11:47:22,2019-02-11 11:47:24,2.003s,PASSED
"setText(findTestObject(""Dashboard_Date/Input_of_date""), parDate)",Chrome 71.0.3578.98,"Provide the Date in the Text Box
",2019-02-11 11:47:24,2019-02-11 11:47:24,0.355s,PASSED
globalkeywords.record.RecordNotFound(),Chrome 71.0.3578.98,,2019-02-11 11:47:24,2019-02-11 11:47:35,10.626s,PASSED
robot = new java.awt.Robot(),Chrome 71.0.3578.98,,2019-02-11 11:47:35,2019-02-11 11:47:35,0.016s,PASSED
robot.keyPress(VK_ENTER),Chrome 71.0.3578.98,Select and click date,2019-02-11 11:47:35,2019-02-11 11:47:35,0.056s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-11 11:47:35,2019-02-11 11:47:37,2.022s,PASSED
robot.keyRelease(VK_ENTER),Chrome 71.0.3578.98,Select and click date,2019-02-11 11:47:37,2019-02-11 11:47:37,0.002s,PASSED
"click(findTestObject(""demo/a_June 2018""))",Chrome 71.0.3578.98,,2019-02-11 11:47:37,2019-02-11 11:47:37,0.004s,NOT_RUN
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Participant,Chrome 71.0.3578.98,,2019-02-11 11:47:37,2019-02-11 11:48:00,23.551s,PASSED
"waitForElementNotClickable(findTestObject(""Dashboard_Date/span_Please enter at least 3 c""), 10)",Chrome 71.0.3578.98,,2019-02-11 11:47:37,2019-02-11 11:47:48,10.600s,PASSED
"click(findTestObject(""Dashboard_Date/span_Please enter at least 3 c""))",Chrome 71.0.3578.98,Click on the Text box,2019-02-11 11:47:48,2019-02-11 11:47:48,0.141s,PASSED
"setText(findTestObject(""Dashboard_Date/input_Please enter at least 3""), ParticipantName)",Chrome 71.0.3578.98,Providing participant name,2019-02-11 11:47:48,2019-02-11 11:47:48,0.247s,PASSED
delay(10),Chrome 71.0.3578.98,,2019-02-11 11:47:48,2019-02-11 11:47:58,10.002s,PASSED
robot = new java.awt.Robot(),Chrome 71.0.3578.98,,2019-02-11 11:47:58,2019-02-11 11:47:58,0.001s,PASSED
robot.keyPress(VK_ENTER),Chrome 71.0.3578.98,Select and click date,2019-02-11 11:47:58,2019-02-11 11:47:58,0.004s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-11 11:47:58,2019-02-11 11:48:00,2.007s,PASSED
robot.keyRelease(VK_ENTER),Chrome 71.0.3578.98,Select and click date,2019-02-11 11:48:00,2019-02-11 11:48:00,0.001s,PASSED
ParticipantName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 71.0.3578.98,,2019-02-11 11:48:00,2019-02-11 11:48:00,0.000s,PASSED
try,Chrome 71.0.3578.98,,2019-02-11 11:48:00,2019-02-11 11:48:00,0.100s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Widget1_QTD_CPS_Attainment,Chrome 71.0.3578.98,,2019-02-11 11:48:00,2019-02-11 11:48:02,1.237s,PASSED
"mouseOver(findTestObject(""Dashboard_Widgets/Dashboard_QTD_CPS_Attainment/span_QTD CPS Attainment""))",Chrome 71.0.3578.98,Mouseover on to QTD CPS,2019-02-11 11:48:01,2019-02-11 11:48:01,0.555s,PASSED
"verifyElementText(findTestObject(""Dashboard_Widgets/Dashboard_QTD_CPS_Attainment/span_QTD CPS Attainment""), Widget1)",Chrome 71.0.3578.98,Verify the Text of QTD CPS,2019-02-11 11:48:01,2019-02-11 11:48:01,0.088s,PASSED
"verifyEqual(getText(findTestObject(""Dashboard_Widgets/Dashboard_QTD_CPS_Attainment/QTD_CPS_attainment_value"")), wid_Values)",Chrome 71.0.3578.98,Verify the value of QTD CPS,2019-02-11 11:48:01,2019-02-11 11:48:02,0.148s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Widget2_Myprofile,Chrome 71.0.3578.98,,2019-02-11 11:48:02,2019-02-11 11:48:22,20.635s,PASSED
"mouseOver(findTestObject(""Dashboard_Widgets/Dashboard_MyProfile/span_My Profile""))",Chrome 71.0.3578.98,Mouseover to My Profile ,2019-02-11 11:48:02,2019-02-11 11:48:03,0.162s,PASSED
"verifyElementText(findTestObject(""Dashboard_Widgets/Dashboard_MyProfile/span_My Profile""), Widget2)",Chrome 71.0.3578.98,"Verify the Text of My Profile
",2019-02-11 11:48:03,2019-02-11 11:48:03,0.080s,PASSED
"verifyEqual(getText(findTestObject(""Dashboard_Widgets/Dashboard_Myprofile/div_First"")), ""First"")",Chrome 71.0.3578.98,Verify the text of first name,2019-02-11 11:48:03,2019-02-11 11:48:03,0.108s,PASSED
obj1 = new com.kms.katalon.core.testobject.TestObject(Dynamic object),Chrome 71.0.3578.98,Verify the Value of first name,2019-02-11 11:48:03,2019-02-11 11:48:03,0.004s,PASSED
fname_search1 = firstname,Chrome 71.0.3578.98,,2019-02-11 11:48:03,2019-02-11 11:48:03,0.000s,PASSED
Thread.sleep(6000),Chrome 71.0.3578.98,,2019-02-11 11:48:03,2019-02-11 11:48:09,6.000s,PASSED
"xpath_firstname_test = "" //div/span[contains(text(),"""" + fname_search1 + """")]""",Chrome 71.0.3578.98,,2019-02-11 11:48:09,2019-02-11 11:48:09,0.002s,PASSED
"obj1.addProperty(""xpath"", EQUALS, xpath_firstname_test)",Chrome 71.0.3578.98,,2019-02-11 11:48:09,2019-02-11 11:48:09,0.000s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-11 11:48:09,2019-02-11 11:48:11,2.001s,PASSED
text = getText(obj1),Chrome 71.0.3578.98,,2019-02-11 11:48:11,2019-02-11 11:48:11,0.122s,PASSED
out.println(text),Chrome 71.0.3578.98,,2019-02-11 11:48:11,2019-02-11 11:48:11,0.016s,PASSED
"verifyEqual(getText(obj1), firstname)",Chrome 71.0.3578.98,Click the Plan Rep,2019-02-11 11:48:11,2019-02-11 11:48:11,0.038s,PASSED
"verifyEqual(getText(findTestObject(""Dashboard_Widgets/Dashboard_MyProfile/div_Last"")), ""Last"")",Chrome 71.0.3578.98,Verify the text of Last name,2019-02-11 11:48:11,2019-02-11 11:48:11,0.067s,PASSED
obj2 = new com.kms.katalon.core.testobject.TestObject(Dynamic object),Chrome 71.0.3578.98,Verify the Value of Last name,2019-02-11 11:48:11,2019-02-11 11:48:11,0.004s,PASSED
lname_search1 = Lastname,Chrome 71.0.3578.98,,2019-02-11 11:48:11,2019-02-11 11:48:11,0.000s,PASSED
"xpath_lastname_test = "" //div/span[contains(text(),"""" + lname_search1 + """")]""",Chrome 71.0.3578.98,,2019-02-11 11:48:11,2019-02-11 11:48:11,0.000s,PASSED
"obj2.addProperty(""xpath"", EQUALS, xpath_lastname_test)",Chrome 71.0.3578.98,,2019-02-11 11:48:11,2019-02-11 11:48:11,0.004s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-11 11:48:11,2019-02-11 11:48:13,2.001s,PASSED
Last_text = getText(obj2),Chrome 71.0.3578.98,,2019-02-11 11:48:13,2019-02-11 11:48:13,0.125s,PASSED
"verifyEqual(getText(obj2), Lastname)",Chrome 71.0.3578.98,,2019-02-11 11:48:13,2019-02-11 11:48:13,0.043s,PASSED
"verifyEqual(getText(findTestObject(""Dashboard_Widgets/Dashboard_MyProfile/div_Job Desc"")), ""Job Desc"")",Chrome 71.0.3578.98,Verify the text of Job Desc,2019-02-11 11:48:13,2019-02-11 11:48:13,0.105s,PASSED
obj3 = new com.kms.katalon.core.testobject.TestObject(Dynamic object),Chrome 71.0.3578.98,Verify the Value of Job Desc,2019-02-11 11:48:13,2019-02-11 11:48:13,0.004s,PASSED
job_search3 = JobDesc,Chrome 71.0.3578.98,,2019-02-11 11:48:13,2019-02-11 11:48:13,0.000s,PASSED
"job_desc_xpath3 = "" //div/span[contains(text(),"""" + job_search3 + """")]""",Chrome 71.0.3578.98,,2019-02-11 11:48:13,2019-02-11 11:48:13,0.000s,PASSED
"obj3.addProperty(""xpath"", EQUALS, job_desc_xpath3)",Chrome 71.0.3578.98,,2019-02-11 11:48:13,2019-02-11 11:48:13,0.000s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-11 11:48:13,2019-02-11 11:48:15,2.001s,PASSED
job_text = getText(obj3),Chrome 71.0.3578.98,,2019-02-11 11:48:15,2019-02-11 11:48:15,0.141s,PASSED
"verifyEqual(getText(obj3), JobDesc)",Chrome 71.0.3578.98,,2019-02-11 11:48:15,2019-02-11 11:48:15,0.057s,PASSED
"verifyEqual(getText(findTestObject(""Dashboard_Widgets/Dashboard_MyProfile/div_Manager"")), ""Manager"")",Chrome 71.0.3578.98,Verify the text of Manager,2019-02-11 11:48:15,2019-02-11 11:48:16,0.095s,PASSED
obj4 = new com.kms.katalon.core.testobject.TestObject(Dynamic object),Chrome 71.0.3578.98,Verify the Value of Manager,2019-02-11 11:48:16,2019-02-11 11:48:16,0.000s,PASSED
manager_search4 = Manager,Chrome 71.0.3578.98,,2019-02-11 11:48:16,2019-02-11 11:48:16,0.000s,PASSED
"manager_xpath4 = "" //div/span[contains(text(),"""" + manager_search4 + """")]""",Chrome 71.0.3578.98,,2019-02-11 11:48:16,2019-02-11 11:48:16,0.000s,PASSED
"obj4.addProperty(""xpath"", EQUALS, manager_xpath4)",Chrome 71.0.3578.98,,2019-02-11 11:48:16,2019-02-11 11:48:16,0.000s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-11 11:48:16,2019-02-11 11:48:18,2.001s,PASSED
manager_text = getText(obj4),Chrome 71.0.3578.98,,2019-02-11 11:48:18,2019-02-11 11:48:18,0.135s,PASSED
"verifyEqual(getText(obj4), Manager)",Chrome 71.0.3578.98,,2019-02-11 11:48:18,2019-02-11 11:48:18,0.038s,PASSED
pdtobj = new com.kms.katalon.core.testobject.TestObject(Dynamic object),Chrome 71.0.3578.98,,2019-02-11 11:48:18,2019-02-11 11:48:18,0.000s,PASSED
pdtobject = PDTtxt,Chrome 71.0.3578.98,,2019-02-11 11:48:18,2019-02-11 11:48:18,0.000s,PASSED
"pdttxt_xapth = ""//*[normalize-space(text()) and normalize-space(.)="""" + pdtobject + """"]""",Chrome 71.0.3578.98,,2019-02-11 11:48:18,2019-02-11 11:48:18,0.000s,PASSED
"pdtobj.addProperty(""xpath"", EQUALS, pdttxt_xapth)",Chrome 71.0.3578.98,,2019-02-11 11:48:18,2019-02-11 11:48:18,0.000s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-11 11:48:18,2019-02-11 11:48:20,2.001s,PASSED
pdt1_text = getText(pdtobj),Chrome 71.0.3578.98,,2019-02-11 11:48:20,2019-02-11 11:48:20,0.133s,PASSED
"verifyEqual(getText(pdtobj), PDTtxt)",Chrome 71.0.3578.98,,2019-02-11 11:48:20,2019-02-11 11:48:20,0.057s,PASSED
obj5 = new com.kms.katalon.core.testobject.TestObject(Dynamic object),Chrome 71.0.3578.98,Verify the Value of PDT,2019-02-11 11:48:20,2019-02-11 11:48:20,0.004s,PASSED
pdt_search5 = PDT,Chrome 71.0.3578.98,,2019-02-11 11:48:20,2019-02-11 11:48:20,0.000s,PASSED
