Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SemiLeveragePlan,Chrome 70.0.3538.110,,2018-12-05 16:09:55,2018-12-05 16:13:30,3m - 35.148s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_login,Chrome 70.0.3538.110,,2018-12-05 16:09:55,2018-12-05 16:10:15,19.503s,PASSED
openBrowser,Chrome 70.0.3538.110,Opening the Browser,2018-12-05 16:09:56,2018-12-05 16:10:01,5.258s,PASSED
navigateToUrl,Chrome 70.0.3538.110,"Navigating to Specified Url
",2018-12-05 16:10:01,2018-12-05 16:10:07,5.371s,PASSED
maximizeWindow,Chrome 70.0.3538.110,Maximizing the Browser window,2018-12-05 16:10:07,2018-12-05 16:10:08,1.181s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-05 16:10:08,2018-12-05 16:10:11,3.053s,PASSED
setText,Chrome 70.0.3538.110,Providing the Input value in the Username Text Box,2018-12-05 16:10:11,2018-12-05 16:10:11,0.448s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-05 16:10:11,2018-12-05 16:10:14,3.004s,PASSED
setText,Chrome 70.0.3538.110,Providing the Password of the User,2018-12-05 16:10:14,2018-12-05 16:10:15,0.339s,PASSED
click,Chrome 70.0.3538.110,Click the login button,2018-12-05 16:10:15,2018-12-05 16:10:15,0.277s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_Plan,Chrome 70.0.3538.110,,2018-12-05 16:10:15,2018-12-05 16:10:35,20.418s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 70.0.3538.110,,2018-12-05 16:10:15,2018-12-05 16:10:18,3.010s,PASSED
click,Chrome 70.0.3538.110,"Click the Dashbord option on the screen
",2018-12-05 16:10:18,2018-12-05 16:10:19,0.584s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-05 16:10:19,2018-12-05 16:10:20,1.003s,PASSED
click,Chrome 70.0.3538.110,Click on the Text box,2018-12-05 16:10:20,2018-12-05 16:10:20,0.370s,PASSED
setText,Chrome 70.0.3538.110,Providing the Plan Name in the Text Box,2018-12-05 16:10:20,2018-12-05 16:10:21,0.637s,PASSED
globalkeywords.record.RecordNotFound,Chrome 70.0.3538.110,,2018-12-05 16:10:21,2018-12-05 16:10:33,12.080s,PASSED
Statement - myobj = new com.kms.katalon.core.testobject.TestObject(Dynamic Boject),Chrome 70.0.3538.110,,2018-12-05 16:10:33,2018-12-05 16:10:33,0.006s,PASSED
Statement - plansearch = Plans,Chrome 70.0.3538.110,,2018-12-05 16:10:33,2018-12-05 16:10:33,0.001s,PASSED
"Statement - xpath = ""//span[normalize-space(text())="""" + plansearch + """"]""",Chrome 70.0.3538.110,,2018-12-05 16:10:33,2018-12-05 16:10:33,0.001s,PASSED
"Statement - myobj.addProperty(""xpath"", EQUALS, xpath)",Chrome 70.0.3538.110,,2018-12-05 16:10:33,2018-12-05 16:10:33,0.006s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.110,,2018-12-05 16:10:33,2018-12-05 16:10:35,2.001s,PASSED
click,Chrome 70.0.3538.110,Click the Plan,2018-12-05 16:10:35,2018-12-05 16:10:35,0.162s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_PlanActions,Chrome 70.0.3538.110,,2018-12-05 16:10:35,2018-12-05 16:10:47,11.920s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-05 16:10:36,2018-12-05 16:10:39,3.004s,PASSED
Statement - myobj1 = new com.kms.katalon.core.testobject.TestObject(Dynamic object),Chrome 70.0.3538.110,,2018-12-05 16:10:39,2018-12-05 16:10:39,0.002s,PASSED
Statement - plansearch1 = Plans,Chrome 70.0.3538.110,,2018-12-05 16:10:39,2018-12-05 16:10:39,0.003s,PASSED
"Statement - xpath = ""(//*[normalize-space(text()) and normalize-space(.)="""" + plansearch1 + """"])[2]/following::i[1]""",Chrome 70.0.3538.110,,2018-12-05 16:10:39,2018-12-05 16:10:39,0.002s,PASSED
"Statement - myobj1.addProperty(""xpath"", EQUALS, xpath)",Chrome 70.0.3538.110,,2018-12-05 16:10:39,2018-12-05 16:10:39,0.001s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.110,,2018-12-05 16:10:39,2018-12-05 16:10:41,2.002s,PASSED
click,Chrome 70.0.3538.110,Click the Plan Rep,2018-12-05 16:10:41,2018-12-05 16:10:41,0.263s,PASSED
switchToWindowIndex,Chrome 70.0.3538.110,Switch to other window index,2018-12-05 16:10:41,2018-12-05 16:10:41,0.053s,PASSED
waitForElementVisible,Chrome 70.0.3538.110,Waiting for the object to visible,2018-12-05 16:10:41,2018-12-05 16:10:47,6.048s,PASSED
click,Chrome 70.0.3538.110,Click on the text box,2018-12-05 16:10:47,2018-12-05 16:10:47,0.201s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_date,Chrome 70.0.3538.110,,2018-12-05 16:10:47,2018-12-05 16:11:33,45.601s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-05 16:10:48,2018-12-05 16:10:58,10.004s,PASSED
click,Chrome 70.0.3538.110,"Click on the Date Option
",2018-12-05 16:10:58,2018-12-05 16:10:58,0.342s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-05 16:10:58,2018-12-05 16:11:08,10.004s,PASSED
click,Chrome 70.0.3538.110,Click on Date Text box,2018-12-05 16:11:08,2018-12-05 16:11:08,0.183s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-05 16:11:08,2018-12-05 16:11:18,10.003s,PASSED
setText,Chrome 70.0.3538.110,"Provide the Date in the Text Box
",2018-12-05 16:11:18,2018-12-05 16:11:19,0.408s,PASSED
globalkeywords.record.RecordNotFound,Chrome 70.0.3538.110,,2018-12-05 16:11:19,2018-12-05 16:11:31,12.229s,PASSED
Statement - robot = new java.awt.Robot(),Chrome 70.0.3538.110,,2018-12-05 16:11:31,2018-12-05 16:11:31,0.006s,PASSED
Statement - robot.keyPress(VK_ENTER),Chrome 70.0.3538.110,Select and click date,2018-12-05 16:11:31,2018-12-05 16:11:31,0.019s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.110,,2018-12-05 16:11:31,2018-12-05 16:11:33,2.001s,PASSED
Statement - robot.keyRelease(VK_ENTER),Chrome 70.0.3538.110,Select and click date,2018-12-05 16:11:33,2018-12-05 16:11:33,0.005s,PASSED
click,Chrome 70.0.3538.110,,2018-12-05 16:11:33,2018-12-05 16:11:33,0.004s,NOT_RUN
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Participant,Chrome 70.0.3538.110,,2018-12-05 16:11:33,2018-12-05 16:12:02,28.691s,FAILED
click,Chrome 70.0.3538.110,Click on the Text box,2018-12-05 16:11:33,2018-12-05 16:11:34,0.175s,PASSED
setText,Chrome 70.0.3538.110,Providing participant name,2018-12-05 16:11:34,2018-12-05 16:11:34,0.286s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-05 16:11:34,2018-12-05 16:11:49,15.004s,PASSED
Statement - robot = new java.awt.Robot(),Chrome 70.0.3538.110,,2018-12-05 16:11:49,2018-12-05 16:11:49,0.001s,PASSED
Statement - robot.keyPress(VK_ENTER),Chrome 70.0.3538.110,Select and click Participant,2018-12-05 16:11:49,2018-12-05 16:11:49,0.002s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.110,,2018-12-05 16:11:49,2018-12-05 16:11:51,2.003s,PASSED
Statement - robot.keyRelease(VK_ENTER),Chrome 70.0.3538.110,Select and click Participant,2018-12-05 16:11:51,2018-12-05 16:11:51,0.002s,PASSED
Statement - ParticipantName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.110,,2018-12-05 16:11:51,2018-12-05 16:11:51,0.001s,PASSED
Statement - Try,Chrome 70.0.3538.110,,2018-12-05 16:11:51,2018-12-05 16:12:02,10.705s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Widget1_QTD_CPS_Attainment,Chrome 70.0.3538.110,,2018-12-05 16:12:02,2018-12-05 16:12:41,39.702s,FAILED
mouseOver,Chrome 70.0.3538.110,Mouseover on to QTD CPS,2018-12-05 16:12:02,2018-12-05 16:12:41,39.228s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Widget2_Myprofile,Chrome 70.0.3538.110,,2018-12-05 16:12:41,2018-12-05 16:12:43,1.507s,FAILED
mouseOver,Chrome 70.0.3538.110,Mouseover to My Profile ,2018-12-05 16:12:42,2018-12-05 16:12:42,0.114s,PASSED
verifyElementText,Chrome 70.0.3538.110,"Verify the Text of My Profile
",2018-12-05 16:12:42,2018-12-05 16:12:43,0.854s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Widget3_Percent_of_TI,Chrome 70.0.3538.110,,2018-12-05 16:12:43,2018-12-05 16:12:45,1.803s,FAILED
mouseOver,Chrome 70.0.3538.110,Mouseover to Percent of TI,2018-12-05 16:12:43,2018-12-05 16:12:44,0.260s,PASSED
verifyElementText,Chrome 70.0.3538.110,Verify the text of Percent of TI,2018-12-05 16:12:44,2018-12-05 16:12:45,0.836s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Widget4_Element_1_Attainment,Chrome 70.0.3538.110,,2018-12-05 16:12:45,2018-12-05 16:12:46,1.138s,FAILED
mouseOver,Chrome 70.0.3538.110,Mouseover to Element1 Attainment,2018-12-05 16:12:45,2018-12-05 16:12:45,0.108s,PASSED
verifyEqual,Chrome 70.0.3538.110,Verify the text of Element 1 attainment,2018-12-05 16:12:45,2018-12-05 16:12:45,0.273s,PASSED
verifyElementText,Chrome 70.0.3538.110,Verify the Value  of Element 1 Attainment,2018-12-05 16:12:45,2018-12-05 16:12:46,0.161s,PASSED
verifyEqual,Chrome 70.0.3538.110,Verify the quota  of Element 1 Attainment,2018-12-05 16:12:46,2018-12-05 16:12:46,0.115s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_widgets/Widget5_Element_2_attainment,Chrome 70.0.3538.110,,2018-12-05 16:12:46,2018-12-05 16:12:46,0.649s,FAILED
mouseOver,Chrome 70.0.3538.110,Mouseover Element 2 Attainment,2018-12-05 16:12:46,2018-12-05 16:12:46,0.095s,PASSED
verifyElementText,Chrome 70.0.3538.110,verify the text of Element 2 Attainment,2018-12-05 16:12:46,2018-12-05 16:12:46,0.093s,PASSED
verifyEqual,Chrome 70.0.3538.110,Verify the Value  of Element 2 Attainment,2018-12-05 16:12:46,2018-12-05 16:12:46,0.123s,FAILED
,,,,,,
