Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify plans,Firefox 62.0,,2018-11-16 17:58:10,2018-11-16 18:01:46,3m - 35.217s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_login,Firefox 62.0,,2018-11-16 17:58:11,2018-11-16 17:58:39,27.541s,PASSED
openBrowser,Firefox 62.0,,2018-11-16 17:58:12,2018-11-16 17:58:21,9.089s,PASSED
navigateToUrl,Firefox 62.0,,2018-11-16 17:58:21,2018-11-16 17:58:28,7.244s,PASSED
maximizeWindow,Firefox 62.0,,2018-11-16 17:58:28,2018-11-16 17:58:32,3.558s,PASSED
delay,Firefox 62.0,,2018-11-16 17:58:32,2018-11-16 17:58:35,3.078s,PASSED
setText,Firefox 62.0,,2018-11-16 17:58:35,2018-11-16 17:58:35,0.342s,PASSED
delay,Firefox 62.0,,2018-11-16 17:58:35,2018-11-16 17:58:38,3.004s,PASSED
setText,Firefox 62.0,,2018-11-16 17:58:38,2018-11-16 17:58:39,0.229s,PASSED
click,Firefox 62.0,,2018-11-16 17:58:39,2018-11-16 17:58:39,0.332s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Plans,Firefox 62.0,,2018-11-16 17:58:39,2018-11-16 17:58:54,15.516s,PASSED
click,Firefox 62.0,,2018-11-16 17:58:39,2018-11-16 17:58:45,5.257s,PASSED
delay,Firefox 62.0,,2018-11-16 17:58:45,2018-11-16 17:58:48,3.002s,PASSED
click,Firefox 62.0,,2018-11-16 17:58:48,2018-11-16 17:58:48,0.295s,PASSED
setText,Firefox 62.0,,2018-11-16 17:58:48,2018-11-16 17:58:48,0.253s,PASSED
delay,Firefox 62.0,,2018-11-16 17:58:48,2018-11-16 17:58:51,3.004s,PASSED
click,Firefox 62.0,,2018-11-16 17:58:51,2018-11-16 17:58:51,0.364s,PASSED
delay,Firefox 62.0,,2018-11-16 17:58:51,2018-11-16 17:58:54,3.003s,PASSED
click,Firefox 62.0,,2018-11-16 17:58:54,2018-11-16 17:58:54,0.006s,NOT_RUN
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Plans,Firefox 62.0,,2018-11-16 17:58:54,2018-11-16 17:59:05,10.602s,PASSED
click,Firefox 62.0,,2018-11-16 17:58:54,2018-11-16 17:58:55,0.274s,PASSED
delay,Firefox 62.0,,2018-11-16 17:58:55,2018-11-16 17:58:58,3.002s,PASSED
click,Firefox 62.0,,2018-11-16 17:58:58,2018-11-16 17:58:58,0.320s,PASSED
setText,Firefox 62.0,,2018-11-16 17:58:58,2018-11-16 17:58:59,0.581s,PASSED
delay,Firefox 62.0,,2018-11-16 17:58:59,2018-11-16 17:59:02,3.004s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:02,2018-11-16 17:59:02,0.356s,PASSED
delay,Firefox 62.0,,2018-11-16 17:59:02,2018-11-16 17:59:05,3.002s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:05,2018-11-16 17:59:05,0.000s,NOT_RUN
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Plans,Firefox 62.0,,2018-11-16 17:59:05,2018-11-16 17:59:15,10.404s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:05,2018-11-16 17:59:05,0.266s,PASSED
delay,Firefox 62.0,,2018-11-16 17:59:05,2018-11-16 17:59:08,3.001s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:08,2018-11-16 17:59:09,0.304s,PASSED
setText,Firefox 62.0,,2018-11-16 17:59:09,2018-11-16 17:59:09,0.420s,PASSED
delay,Firefox 62.0,,2018-11-16 17:59:09,2018-11-16 17:59:12,3.001s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:12,2018-11-16 17:59:12,0.354s,PASSED
delay,Firefox 62.0,,2018-11-16 17:59:12,2018-11-16 17:59:15,3.002s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:15,2018-11-16 17:59:15,0.001s,NOT_RUN
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Plans,Firefox 62.0,,2018-11-16 17:59:15,2018-11-16 17:59:26,10.235s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:15,2018-11-16 17:59:16,0.271s,PASSED
delay,Firefox 62.0,,2018-11-16 17:59:16,2018-11-16 17:59:19,3.002s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:19,2018-11-16 17:59:19,0.314s,PASSED
setText,Firefox 62.0,,2018-11-16 17:59:19,2018-11-16 17:59:19,0.290s,PASSED
delay,Firefox 62.0,,2018-11-16 17:59:19,2018-11-16 17:59:22,3.003s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:22,2018-11-16 17:59:23,0.316s,PASSED
delay,Firefox 62.0,,2018-11-16 17:59:23,2018-11-16 17:59:26,3.001s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:26,2018-11-16 17:59:26,0.001s,NOT_RUN
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Plans,Firefox 62.0,,2018-11-16 17:59:26,2018-11-16 17:59:33,7.082s,FAILED
click,Firefox 62.0,,2018-11-16 17:59:26,2018-11-16 17:59:26,0.290s,PASSED
delay,Firefox 62.0,,2018-11-16 17:59:26,2018-11-16 17:59:29,3.011s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:29,2018-11-16 17:59:29,0.295s,PASSED
setText,Firefox 62.0,,2018-11-16 17:59:29,2018-11-16 17:59:30,0.228s,PASSED
delay,Firefox 62.0,,2018-11-16 17:59:30,2018-11-16 17:59:33,3.002s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:33,2018-11-16 17:59:33,0.221s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Plans,Firefox 62.0,,2018-11-16 17:59:33,2018-11-16 17:59:43,10.098s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:33,2018-11-16 17:59:33,0.250s,PASSED
delay,Firefox 62.0,,2018-11-16 17:59:33,2018-11-16 17:59:36,3.004s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:36,2018-11-16 17:59:36,0.292s,PASSED
setText,Firefox 62.0,,2018-11-16 17:59:36,2018-11-16 17:59:37,0.239s,PASSED
delay,Firefox 62.0,,2018-11-16 17:59:37,2018-11-16 17:59:40,3.001s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:40,2018-11-16 17:59:40,0.288s,PASSED
delay,Firefox 62.0,,2018-11-16 17:59:40,2018-11-16 17:59:43,3.002s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:43,2018-11-16 17:59:43,0.001s,NOT_RUN
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Plans,Firefox 62.0,,2018-11-16 17:59:43,2018-11-16 17:59:50,6.996s,FAILED
click,Firefox 62.0,,2018-11-16 17:59:43,2018-11-16 17:59:43,0.252s,PASSED
delay,Firefox 62.0,,2018-11-16 17:59:43,2018-11-16 17:59:46,3.001s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:46,2018-11-16 17:59:46,0.263s,PASSED
setText,Firefox 62.0,,2018-11-16 17:59:46,2018-11-16 17:59:47,0.219s,PASSED
delay,Firefox 62.0,,2018-11-16 17:59:47,2018-11-16 17:59:50,3.001s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:50,2018-11-16 17:59:50,0.175s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Plans,Firefox 62.0,,2018-11-16 17:59:50,2018-11-16 18:00:00,10.129s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:50,2018-11-16 17:59:50,0.265s,PASSED
delay,Firefox 62.0,,2018-11-16 17:59:50,2018-11-16 17:59:53,3.001s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:53,2018-11-16 17:59:53,0.306s,PASSED
setText,Firefox 62.0,,2018-11-16 17:59:53,2018-11-16 17:59:54,0.228s,PASSED
delay,Firefox 62.0,,2018-11-16 17:59:54,2018-11-16 17:59:57,3.003s,PASSED
click,Firefox 62.0,,2018-11-16 17:59:57,2018-11-16 17:59:57,0.320s,PASSED
delay,Firefox 62.0,,2018-11-16 17:59:57,2018-11-16 18:00:00,3.002s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:00,2018-11-16 18:00:00,0.001s,NOT_RUN
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Plans,Firefox 62.0,,2018-11-16 18:00:00,2018-11-16 18:00:07,6.953s,FAILED
click,Firefox 62.0,,2018-11-16 18:00:00,2018-11-16 18:00:00,0.280s,PASSED
delay,Firefox 62.0,,2018-11-16 18:00:00,2018-11-16 18:00:03,3.002s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:03,2018-11-16 18:00:04,0.310s,PASSED
setText,Firefox 62.0,,2018-11-16 18:00:04,2018-11-16 18:00:04,0.200s,PASSED
delay,Firefox 62.0,,2018-11-16 18:00:04,2018-11-16 18:00:07,3.002s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:07,2018-11-16 18:00:07,0.138s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Plans,Firefox 62.0,,2018-11-16 18:00:07,2018-11-16 18:00:17,10.142s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:07,2018-11-16 18:00:07,0.257s,PASSED
delay,Firefox 62.0,,2018-11-16 18:00:07,2018-11-16 18:00:10,3.002s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:10,2018-11-16 18:00:11,0.281s,PASSED
setText,Firefox 62.0,,2018-11-16 18:00:11,2018-11-16 18:00:11,0.276s,PASSED
delay,Firefox 62.0,,2018-11-16 18:00:11,2018-11-16 18:00:14,3.002s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:14,2018-11-16 18:00:14,0.286s,PASSED
delay,Firefox 62.0,,2018-11-16 18:00:14,2018-11-16 18:00:17,3.002s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:17,2018-11-16 18:00:17,0.002s,NOT_RUN
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Plans,Firefox 62.0,,2018-11-16 18:00:17,2018-11-16 18:00:27,10.225s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:17,2018-11-16 18:00:17,0.301s,PASSED
delay,Firefox 62.0,,2018-11-16 18:00:17,2018-11-16 18:00:20,3.002s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:20,2018-11-16 18:00:21,0.279s,PASSED
setText,Firefox 62.0,,2018-11-16 18:00:21,2018-11-16 18:00:21,0.299s,PASSED
delay,Firefox 62.0,,2018-11-16 18:00:21,2018-11-16 18:00:24,3.003s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:24,2018-11-16 18:00:24,0.301s,PASSED
delay,Firefox 62.0,,2018-11-16 18:00:24,2018-11-16 18:00:27,3.003s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:27,2018-11-16 18:00:27,0.001s,NOT_RUN
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Plans,Firefox 62.0,,2018-11-16 18:00:27,2018-11-16 18:00:38,10.207s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:27,2018-11-16 18:00:28,0.268s,PASSED
delay,Firefox 62.0,,2018-11-16 18:00:28,2018-11-16 18:00:31,3.001s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:31,2018-11-16 18:00:31,0.286s,PASSED
setText,Firefox 62.0,,2018-11-16 18:00:31,2018-11-16 18:00:31,0.275s,PASSED
delay,Firefox 62.0,,2018-11-16 18:00:31,2018-11-16 18:00:34,3.002s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:34,2018-11-16 18:00:35,0.337s,PASSED
delay,Firefox 62.0,,2018-11-16 18:00:35,2018-11-16 18:00:38,3.002s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:38,2018-11-16 18:00:38,0.001s,NOT_RUN
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Plans,Firefox 62.0,,2018-11-16 18:00:38,2018-11-16 18:00:48,10.151s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:38,2018-11-16 18:00:38,0.280s,PASSED
delay,Firefox 62.0,,2018-11-16 18:00:38,2018-11-16 18:00:41,3.002s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:41,2018-11-16 18:00:41,0.283s,PASSED
setText,Firefox 62.0,,2018-11-16 18:00:41,2018-11-16 18:00:41,0.259s,PASSED
delay,Firefox 62.0,,2018-11-16 18:00:41,2018-11-16 18:00:44,3.001s,PASSED
click,Firefox 62.0,,2018-11-16 18:00:44,2018-11-16 18:00:45,0.306s,PASSED
